"volume","page","mission_number","type","church","city","state","start_date","end_date","confessions_total","converts","under_instruction","diocese","confessions_adults","confessions_children","confessions_men","confessions_women","order","notes","converts_adult","converts_children","temperance_pledges","confirmed","location","year","converts_total","geo.lon","geo.lat"
1,1,1,"mission","St. Joseph's Church","New York","NY","4/6/1851","4/20/1851",6000,0,0,"New York",5600,400,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",1851,0,-74.0059731,40.7143528
1,6,2,"mission","St. Michael's Church","Loretto","PA","4/27/1851","5/11/1851",1700,0,0,"Pittsburgh",NA,100,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Loretto PA",1851,0,-78.630296,40.5031263
1,11,3,"mission","St. Mary's Church","Hollidaysburg","PA","5/18/1851","5/28/1851",1000,0,0,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Hollidaysburg PA",1851,0,-78.3889024,40.4272949
1,12,4,"mission","Church of St. John Evangelist","Johnstown","PA","5/31/1851","6/8/1851",1000,0,0,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Johnstown PA",1851,0,-78.9219698,40.3267407
1,15,5,"mission","St. Peter's Church","New York","NY","9/28/1851","10/12/1851",4000,0,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",1851,0,-74.0059731,40.7143528
1,18,6,"mission","St. Patrick's Cathedral","New York","NY","10/19/1851","11/3/1851",7000,0,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",1851,0,-74.0059731,40.7143528
1,20,7,"mission","St. Patrick's Church","Erie","PA","11/17/1851","11/28/1851",1000,0,0,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Erie PA",1851,0,-80.085059,42.1292241
1,22,8,"mission","St. Philip Benizi Church","Cussewago","PA","12/1/1851","12/8/1851",270,0,0,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cussewago PA",1851,0,-80.2098219,41.7985407
1,22,9,"mission","St. Vincent's Church (Benedictine)","Youngstown","PA","12/10/1851","12/19/1851",1000,0,0,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Youngstown PA",1851,0,-79.3655913,40.2797927
1,23,10,"mission","St. Peter's Church","Saratoga","NY","1/11/1852","1/22/1852",600,3,0,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Saratoga NY",1852,3,-73.6300729,43.0448483
1,27,11,"mission","St. Peter's Church","Troy","NY","1/25/1852","2/22/1852",3100,0,0,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Troy NY",1852,0,-73.6917851,42.7284117
1,28,12,"mission","St. Joseph's Church","Albany","NY","2/29/1852","3/14/1852",4000,0,0,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Albany NY",1852,0,-73.7562317,42.6525793
1,31,13,"mission","Ss. Peter and Paul's Cathedral","Detroit","MI","3/21/1852","4/4/1852",3000,0,0,"Detroit",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Detroit MI",1852,0,-83.0457538,42.331427
1,33,14,"mission","St. John's Church","Philadelphia","PA","5/2/1852","5/16/1852",3000,0,0,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Philadelphia PA",1852,0,-75.163789,39.952335
1,33,15,"mission","Church of the Assumption","Philadelphia","PA","5/19/1852","5/31/1852",1700,0,0,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Philadelphia PA",1852,0,-75.163789,39.952335
1,35,16,"mission","St. Bernard's Church","Cohoes","NY","6/10/1852","6/20/1852",1400,0,0,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cohoes NY",1852,0,-73.7001187,42.7742446
1,36,17,"mission","St. James's Cathedral","Wheeling","WV","9/5/1852","9/15/1852",1250,3,0,"Wheeling-Charleston",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Wheeling WV",1852,3,-80.7209149,40.0639616
1,37,18,"mission","St. Peter's Cathedral","Cincinnati","OH","9/26/1852","10/10/1852",5000,0,0,"Cincinnati",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cincinnati OH",1852,0,-84.5120196,39.1031182
1,38,19,"mission","Cathedral of the Assumption","Louisville","KY","10/17/1852","10/31/1852",2000,3,0,"Louisville",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Louisville KY",1852,3,-85.7584557,38.2526647
1,39,20,"mission","Cathedral of the Immaculate Conception","Albany","NY","11/28/1852","12/12/1852",4500,3,0,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Albany NY",1852,3,-73.7562317,42.6525793
1,40,21,"mission","St. Peter's Cathedral","Richmond","VA","12/24/1852","1/3/1853",620,3,0,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Richmond VA",1852,3,-77.4360481,37.5407246
1,41,22,"mission","St. John's Cathedral","Cleveland","OH","1/23/1853","2/6/1853",2300,3,0,"Cleveland",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cleveland OH",1853,3,-81.6954088,41.4994954
1,42,23,"mission","St. Mary's Church","Philadelphia","PA","2/20/1853","3/6/1853",2550,3,0,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Philadelphia PA",1853,3,-75.163789,39.952335
1,45,24,"mission","Cathedral of Baltimore","Baltimore","MD","4/10/1853","4/24/1853",4500,0,0,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Baltimore MD",1853,0,-76.6121893,39.2903848
1,51,25,"mission","St. Ignatius' Church","Harford County","MD","8/28/1853","9/10/1853",320,0,0,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Harford County MD",1853,0,-76.3637285,39.5838964
1,51,26,"mission","St. Michael's Church","Flushing","NY","9/11/1853","9/18/1853",950,0,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Flushing NY",1853,0,-73.833079,40.7674987
1,52,27,"mission","St. Peter's Church","New Brighton, Staten Island","NY","9/29/1853","10/3/1853",1200,0,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Brighton, Staten Island NY",1853,0,-74.090226,40.6404369
1,52,28,"mission","St. Mary's Church","Yonkers","NY","9/29/1853","10/2/1853",550,0,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Yonkers NY",1853,0,-73.8987469,40.9312099
1,53,29,"mission","St. Mary's Church","New York","NY","10/16/1853","10/30/1853",7800,0,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",1853,0,-74.0059731,40.7143528
1,53,30,"mission","St. Patrick's Church","Norfolk","VA","11/13/1853","11/24/1853",500,7,0,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Norfolk VA",1853,7,-76.2858726,36.8507689
1,55,31,"mission","St. Paul's Church","Portsmouth","VA","11/13/1853","11/24/1853",330,10,0,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Portsmouth VA",1853,10,-76.2982742,36.8354258
1,56,32,"mission","St. Peter and Paul's Church","Williamsburg, Brookyln, New York","NY","12/4/1853","12/18/1853",4000,16,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Williamsburg, Brookyln, New York NY",1853,16,-73.9536163,40.7064461
1,58,33,"mission","St. Patrick's Church","New Orleans","LA","1/15/1854","1/29/1854",3000,3,0,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",1854,3,-90.0715323,29.9510658
1,61,34,"mission","St. Joseph's Church","New Orleans","LA","2/12/1854","2/21/1854",1300,3,0,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",1854,3,-90.0715323,29.9510658
1,62,35,"mission","Cathedral of the Immaculate Conception","Mobile","AL","3/4/1854","3/16/1854",1300,2,0,"Mobile",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Mobile AL",1854,2,-88.0430541,30.6943566
1,63,36,"mission","St. Alphonsus' Church","New Orleans","LA","3/26/1854","4/5/1854",2000,0,0,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",1854,0,-90.0715323,29.9510658
1,64,37,"mission","St. Peter's Church","New Orleans","LA","4/9/1854","4/17/1854",1700,2,0,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",1854,2,-90.0715323,29.9510658
1,64,38,"mission","St. John Baptist's Church","New Orleans","LA","4/23/1854","4/30/1854",1500,2,0,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",1854,2,-90.0715323,29.9510658
1,65,39,"mission","St. Theresa's Church","New Orleans","LA","5/14/1854","5/21/1854",1500,0,0,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",1854,0,-90.0715323,29.9510658
1,66,40,"mission","St. John's Church","Schenectady","NY","10/8/1854","10/18/1854",1300,0,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Schenectady NY",1854,0,-73.9395687,42.8142432
1,67,41,"mission","","Patterson","NJ","10/29/1854","11/9/1854",2700,0,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Patterson NJ",1854,0,-74.171811,40.9167654
1,68,42,"mission","Church of Our Lady of the Mountain","Emmitsburg","MD","11/19/1854","11/26/1854",500,0,0,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Emmitsburg MD",1854,0,-77.3269307,39.7045417
1,70,43,"mission","St. Peter's Church","Baltimore","MD","12/3/1854","12/13/1854",2500,3,0,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Baltimore MD",1854,3,-76.6121893,39.2903848
1,71,44,"mission","St. Patrick's Cathedral","Newark","NJ","12/31/1854","1/14/1855",4400,0,0,"Newark",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Newark NJ",1854,0,-74.1723667,40.735657
1,72,45,"mission","St. Mary's Church","Charlestown","MA","1/28/1855","2/11/1855",2800,3,0,"Boston",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Charlestown MA",1855,3,-71.0602131,42.3782065
1,74,46,"mission","St. Patrick's Church","Utica","NY","2/21/1855","3/4/1855",1000,3,0,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Utica NY",1855,3,-75.232664,43.100903
1,75,47,"mission","Church of the Annunciation","Manhattanville","NY","3/18/1855","4/1/1855",1400,0,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Manhattanville NY",1855,0,-73.9558333,40.8169443
1,76,48,"mission","","Lexington","KY","4/15/1855","4/25/1855",600,3,0,"Covington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Lexington KY",1855,3,-84.5037164,38.0405837
1,76,49,"mission","","Frankfort","KY","4/29/1855","5/3/1855",350,2,0,"Covington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Frankfort KY",1855,2,-84.8732835,38.2009055
1,79,50,"mission","","Canandagua","NY","9/9/1855","9/17/1855",700,0,0,"Buffalo",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Canandagua NY",1855,0,-77.2816984,42.887535
1,79,51,"mission","St. Paul's Cathedral","Pittsburgh","PA","10/14/1855","10/28/1855",7600,20,0,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Pittsburgh PA",1855,20,-79.9958864,40.4406248
1,83,52,"mission","St. Joseph's Cathedral","Buffalo","NY","11/11/1855","11/21/1855",3000,3,0,"Buffalo",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Buffalo NY",1855,3,-78.8783689,42.8864468
1,84,53,"mission","Church of the Holy Angels","Sandusky","OH","12/2/1855","12/12/1855",1100,0,0,"Cleveland",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Sandusky OH",1855,0,-82.7079605,41.4489396
1,85,54,"mission","St. John's Cathedral","Cleveland","OH","12/16/1855","12/25/1855",3300,0,0,"Cleveland",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cleveland OH",1855,0,-81.6954088,41.4994954
1,86,55,"mission","St. Stephen's Church","New York","NY","1/6/1856","1/18/1856",4000,0,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",1856,0,-74.0059731,40.7143528
1,87,56,"mission","Church of Our Lady Start of the Sea","Brooklyn","NY","2/3/1856","2/17/1856",2800,1,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Brooklyn NY",1856,1,-73.95,40.65
1,89,57,"mission","St. Patrick's Church","Newburgh","NY","3/2/1856","3/13/1856",1350,3,0,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Newburgh NY",1856,3,-74.0104178,41.5034271
1,91,58,"mission","St. Patrick's Church","Norfolk","VA","3/30/1856","4/6/1856",400,0,0,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Norfolk VA",1856,0,-76.2858726,36.8507689
1,95,59,"mission","","Portsmouth","VA","3/30/1856","4/8/1856",520,9,0,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Portsmouth VA",1856,9,-76.2982742,36.8354258
1,95,60,"mission","Richmond Cathedral","Richmond","VA","4/13/1856","4/23/1856",900,0,0,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Richmond VA",1856,0,-77.4360481,37.5407246
1,97,61,"mission","","Petersburg","VA","4/13/1856","4/18/1856",210,0,0,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Petersburg VA",1856,0,-77.4019267,37.2279279
1,97,62,"mission","St. Mary's Church","Hoboken","NJ","9/28/1856","10/5/1856",700,7,0,"Newark",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Hoboken NJ",1856,7,-74.0323626,40.7439905
1,102,63,"mission","St. Peter's Church","Wilmington","DE","10/12/1856","10/23/1856",1700,0,0,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Wilmington DE",1856,0,-75.5466667,39.7458333
1,106,64,"mission","St. Patrick's Church","Washington","DC","11/2/1856","11/15/1856",2700,3,0,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Washington DC",1856,3,-77.0364641,38.9072309
1,111,65,"mission","St. John's Church","Savannah","GA","11/23/1856","12/7/1856",2500,3,0,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Savannah GA",1856,3,-81.0998342,32.0835407
1,113,66,"mission","Church of the Immaculate Conception","Atlanta","GA","12/14/1856","12/19/1856",190,3,0,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Atlanta GA",1856,3,-84.3879824,33.7489954
1,114,67,"mission","Church of the Assumption of the Blessed Virgin Mary","Macon","GA","12/21/1856","12/28/1856",210,3,0,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Macon GA",1856,3,-83.6324022,32.8406946
1,116,68,"mission","St. Philip and James' Church","Columbus","GA","1/4/1857","1/11/1857",170,1,0,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Columbus GA",1857,1,-84.9877094,32.4609764
1,119,69,"mission","Trinity Church","Augusta","GA","12/14/1856","12/24/1856",750,0,0,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Augusta GA",1856,0,-82.0105148,33.4734978
1,126,70,"mission","","St. Augustine","FL","1/4/1857","1/11/1857",600,0,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"St. Augustine FL",1857,0,-81.3132083,29.8942639
1,129,71,"mission","Cathedral of St. John and St. Finabarr","Charleston","SC","1/25/1857","2/8/1857",3100,20,0,"Charleston",NA,200,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Charleston SC",1857,20,-79.9309216,32.7765656
1,133,72,"mission","St. Mary's Church","Roudout","NY","3/1/1857","3/15/1857",2200,0,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Roudout NY",1857,0,-73.9851381,41.920648
1,136,73,"mission","St. Mary's Church","Hudson","NY","3/22/1857","3/29/1857",800,0,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Hudson NY",1857,0,-73.790959,42.2528649
1,137,74,"mission","St. James' Church ","Newark","NJ","9/26/1857","10/6/1857",1900,0,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Newark NJ",1857,0,-74.1723667,40.735657
1,138,75,"mission","Church of Our Lady of Loretto","Cold Spring","NY","10/11/1857","10/18/1857",800,2,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cold Spring NY",1857,2,-73.954583,41.4200937
1,140,76,"mission","St. Peter's Church","Poughkeepsie","NY","10/24/1857","11/6/1857",1950,0,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Poughkeepsie NY",1857,0,-73.9209701,41.7003713
1,142,77,"mission","St. John's Church","Utica","NY","11/15/1857","11/27/1857",3000,0,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Utica NY",1857,0,-75.232664,43.100903
1,144,78,"mission","St. Joseph's Church","Brandywine","DE","12/6/1857","12/14/1857",920,1,0,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Brandywine DE",1857,1,-75.5343681,39.8295563
